id,nombre,precio,descripcion,categoria,talles,promo,imagen,imagenes,posicion
buzo-scotland,Buzo Scotland,65000,Capucha lisa de abrigo,Abrigos,,,/assets/catalog/catalogo-1.png,"/assets/catalog/catalogo-1.png | https://res.cloudinary.com/whx9tgdx/image/upload/f_auto,q_auto/IMG_6632_gtoy47",4.8% 14.5%
remera-botones,Remera Botones,30000,Manga larga con detalle de botones,Remeras,Talles S y M,,/assets/catalog/catalogo-1.png,/assets/catalog/catalogo-1.png,4.8% 25.8%
pantalon-tim,Pantalón Tim,45000,Pantalón cómodo para uso diario,Pantalones,,,/assets/catalog/catalogo-1.png,/assets/catalog/catalogo-1.png,4.8% 37.5%
termicas,Térmicas,15000,Básicas térmicas manga larga,Remeras,,,/assets/catalog/catalogo-1.png,/assets/catalog/catalogo-1.png,4.8% 49.2%
jeans-talon,Jeans Talon,75000,Jean con calce recto,Jeans,,,/assets/catalog/catalogo-1.png,/assets/catalog/catalogo-1.png,4.8% 61.0%
jeans-margarite,Jeans Margarite,85000,Jean azul tiro alto,Jeans,,,/assets/catalog/catalogo-1.png,/assets/catalog/catalogo-1.png,4.8% 72.6%
gorro-lana,Gorro Lana,8000,Gorro tejido de invierno,Accesorios,,,/assets/catalog/catalogo-1.png,/assets/catalog/catalogo-1.png,4.8% 84.4%
sweater-haruka,Sweater Haruka,45000,Sweater liviano de media estación,Abrigos,,,/assets/catalog/catalogo-1.png,/assets/catalog/catalogo-1.png,4.8% 96.1%
remera-arden,Remera Arden,40000,Remera básica premium,Remeras,,,/assets/catalog/catalogo-2.png,/assets/catalog/catalogo-2.png,4.8% 13.8%
cardigan-hinata,Cardigan Hinata,69000,Cardigan abierto con botones,Abrigos,,,/assets/catalog/catalogo-2.png,/assets/catalog/catalogo-2.png,4.8% 25.4%
remera-edna-bordo,Remera Edna Bordo,30000,Remera manga larga,Remeras,,,/assets/catalog/catalogo-2.png,/assets/catalog/catalogo-2.png,4.8% 37.1%
remera-edna-negra,Remera Edna Negra,30000,Remera manga larga,Remeras,,,/assets/catalog/catalogo-2.png,/assets/catalog/catalogo-2.png,4.8% 48.7%
remera-edna-blanca,Remera Edna Blanca,30000,Remera manga larga,Remeras,,,/assets/catalog/catalogo-2.png,/assets/catalog/catalogo-2.png,4.8% 60.4%
buzo-izan,Buzo Izan,50000,Buzo escote en V,Abrigos,,,/assets/catalog/catalogo-2.png,/assets/catalog/catalogo-2.png,4.8% 72.1%
